Event,ID,Rank,Name,Gender,Country,Qualification
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",147,1,VIKTORIIA MESHKOVA,F,RUS,140
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",3840,2,STASA GEJO,F,SRB,98.0
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",1400,3,ELISKA ADAMOVSKA,F,CZE,36.0
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",2857,4,PATRYCJA CHUDZIAK,F,POL,266
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",316,5,CHLOE CAULIER,F,BEL,264
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",144,6,ELENA KRASOVSKAIA,F,RUS,162
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",3113,7,HANNAH MEUL,F,GER,100.0
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",642,8,MOLLY THOMPSON-SMITH,F,GBR,192
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",4328,9,ALMA BESTVATER,F,GER,432
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",2878,10,ALEKSANDRA KALUCKA,F,POL,510
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",4330,11,LUCIA DÖRFFEL,F,GER,720
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",2879,12,NATALIA KALUCKA,F,POL,1140
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",3354,13,AFRA HÖNIG,F,GER,1144
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",1526,14,NIKA POTAPOVA,F,UKR,1755.0
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",4017,15,AYALA KEREM,F,ISR,1755.0
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",1438,16,MICHAELA SMETANOVA,F,CZE,1904
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",4002,17,NOA SHIRAN,F,ISR,2704
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",1453,18,MARKETA JANOSOVA,F,CZE,2970
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",3042,19,VANA PICCINI,F,CRO,3808
"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",2855,20,ANNA BROZEK,F,POL,4800
