Event,ID,Rank,Name,Gender,Country,Qualification,Semi-Final,Final
IFSC Climbing Worldcup (L) - Kranj (SLO) 2016,3125,1,SEBASTIAN HALENKE,M,GER,29+  18. | TOP  1. [10.37],TOP,37
IFSC Climbing Worldcup (L) - Kranj (SLO) 2016,1129,2,DOMEN SKOFIC,M,SLO,TOP  1. | TOP  1. [5.24],TOP,23+
IFSC Climbing Worldcup (L) - Kranj (SLO) 2016,1214,3,JAKOB SCHUBERT,M,AUT,TOP  1. | TOP  1. [5.24],TOP,20
IFSC Climbing Worldcup (L) - Kranj (SLO) 2016,855,4,STEFANO GHISOLFI,M,ITA,TOP  1. | TOP  1. [5.24],TOP,20
IFSC Climbing Worldcup (L) - Kranj (SLO) 2016,93,5,DMITRII FAKIRIANOV,M,RUS,30   17. | 39+  23. [20.20],TOP,20
IFSC Climbing Worldcup (L) - Kranj (SLO) 2016,1127,6,URBAN PRIMOZIC,M,SLO,TOP  1. | TOP  1. [5.24],44+,20
IFSC Climbing Worldcup (L) - Kranj (SLO) 2016,437,7,ROMAIN DESGRANGES,M,FRA,TOP  1. | 44   12. [8.12],TOP,19+
IFSC Climbing Worldcup (L) - Kranj (SLO) 2016,2301,8,YUKI HADA,M,JPN,32+  11. | TOP  1. [7.42],44+,15+
IFSC Climbing Worldcup (L) - Kranj (SLO) 2016,1559,9,SEAN MCCOLL,M,CAN,TOP  1. | TOP  1. [5.24],44,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2016,463,10,THOMAS JOANNES,M,FRA,29   26. | 42   15. [19.94],38+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2016,864,11,FRANCESCO VETTORATA,M,ITA,31+  12. | 35   39. [23.37],38+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2016,1221,12,MAX RUDIGIER,M,AUT,31+  12. | 41   17. [16.09],36+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2016,444,13,GAUTIER SUPPER,M,FRA,29+  18. | 41   17. [19.94],36+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2016,2261,14,MASAHIRO HIGUCHI,M,JPN,31+  12. | 46   10. [11.83],36,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2016,1489,15,FEDIR SAMOILOV,M,UKR,TOP  1. | TOP  1. [5.24],35+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2016,1128,16,JURE RAZTRESEN,M,SLO,29+  18. | 39+  23. [22.72],35+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2016,2347,17,TOMOKI MUSHA,M,JPN,31+  12. | 37+  30. [20.66],35,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2016,1216,18,MARIO LECHNER,M,AUT,31+  12. | 43   13. [13.49],33,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2016,1134,19,MILAN PRESKAR,M,SLO,29+  18. | 37+  30. [25.61],29+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2016,2306,20,TAITO NAKAGAMI,M,JPN,TOP  1. | TOP  1. [5.24],22+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2016,2271,21,NAOKI SHIMATANI,M,JPN,29+  18. | 42+  14. [17.35],21+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2016,2667,22,HANNES PUMAN,M,SWE,29+  18. | 39   26. [23.87],19,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2016,4299,23,SASCHA LEHMANN,M,SUI,TOP  1. | 40+  21. [10.87],18+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2016,2273,24,KEIICHIRO KORENAGA,M,JPN,28   38. | 45+  11. [20.45],13,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2016,2296,25,KAYA OTAKA,M,JPN,28+  28. | 41   17. [24.52],13,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2016,1741,26,SEAN BAILEY,M,USA,TOP  1. | 41+  16. [9.38],1,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2016,854,27,MARCELLO BOMBARDI,M,ITA,28+  28. | 40+  21. [26.43],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2016,776,28,JAVIER CANO BLAZQUEZ,M,ESP,29+  18. | 35+  33. [27.63],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2016,1772,29,KAI LIGHTNER,M,USA,28+  28. | 39+  23. [27.93],,
