Event,ID,Rank,Name,Country,Qualification,Semi-Final,Final
IFSC Climbing Worldcup (L) - Kranj (SLO) 2014,1364,1,ADAM ONDRA,CZE,TOP  1. | TOP  1. [2.96],44+,44+
IFSC Climbing Worldcup (L) - Kranj (SLO) 2014,1559,2,SEAN MCCOLL,CAN,TOP  1. | TOP  1. [2.96],42+,38
IFSC Climbing Worldcup (L) - Kranj (SLO) 2014,2254,3,SACHI AMMA,JPN,42   5. | 32+  7. [6.20],43+,37+
IFSC Climbing Worldcup (L) - Kranj (SLO) 2014,1129,4,DOMEN SKOFIC,SLO,TOP  1. | 28+  10. [5.36],40+,33+
IFSC Climbing Worldcup (L) - Kranj (SLO) 2014,1214,5,JAKOB SCHUBERT,AUT,37+  9. | TOP  1. [5.92],41,32+
IFSC Climbing Worldcup (L) - Kranj (SLO) 2014,855,6,STEFANO GHISOLFI,ITA,42   5. | TOP  1. [4.39],40+,32+
IFSC Climbing Worldcup (L) - Kranj (SLO) 2014,437,7,ROMAIN DESGRANGES,FRA,TOP  1. | TOP  1. [2.96],42,30+
IFSC Climbing Worldcup (L) - Kranj (SLO) 2014,773,8,RAMÓN JULIAN PUIGBLANQUE,ESP,41+  7. | TOP  1. [4.95],41,17+
IFSC Climbing Worldcup (L) - Kranj (SLO) 2014,1127,9,URBAN PRIMOZIC,SLO,35+  12. | 28+  10. [11.75],40+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2014,864,10,FRANCESCO VETTORATA,ITA,37+  9. | 29   9. [9.49],40,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2014,4783,11,AKITO MATSUSHIMA,JPN,37+  9. | 28   14. [11.83],40,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2014,444,12,GAUTIER SUPPER,FRA,39   8. | 28+  10. [9.59],33+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2014,3125,13,SEBASTIAN HALENKE,GER,30+  21. | 29+  8. [13.11],33+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2014,2261,14,MASAHIRO HIGUCHI,JPN,32+  15. | 28+  10. [13.13],33+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2014,314,15,LOÏC TIMMERMANS,BEL,29+  24. | 26   23. [24.24],33+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2014,2014,16,CHRISTOPH HANKE,GER,31   17. | 26+  18. [19.24],28,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2014,1576,17,ELAN JONASMCRAE,CAN,28+  27. | 27   17. [22.20],27+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2014,1135,18,MARTIN BERGANT,SLO,32   16. | 27+  15. [15.75],27,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2014,1128,19,JURE RAZTRESEN,SLO,34   14. | 26+  18. [16.73],27,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2014,3582,20,TIM REUSER,NED,31   17. | 24   26. [22.14],27,
