Event,ID,Rank,Name,Gender,Country,Qualification,Semi-Final,Final
"IFSC Climbing Worldcup (L,S) - Perm (RUS) 2013",773,1,RAMÓN JULIAN PUIGBLANQUE,M,ESP,TOP  1. | TOP  1. [9.75],TOP,45
"IFSC Climbing Worldcup (L,S) - Perm (RUS) 2013",1214,2,JAKOB SCHUBERT,M,AUT,TOP  1. | TOP  1. [9.75],TOP,43+
"IFSC Climbing Worldcup (L,S) - Perm (RUS) 2013",2039,3,HYUNBIN MIN,M,KOR,TOP  1. | TOP  1. [9.75],TOP,37+
"IFSC Climbing Worldcup (L,S) - Perm (RUS) 2013",93,4,DMITRII FAKIRIANOV,M,RUS,TOP  1. | TOP  1. [9.75],TOP,35+
"IFSC Climbing Worldcup (L,S) - Perm (RUS) 2013",437,5,ROMAIN DESGRANGES,M,FRA,TOP  1. | TOP  1. [9.75],TOP,31
"IFSC Climbing Worldcup (L,S) - Perm (RUS) 2013",444,6,GAUTIER SUPPER,M,FRA,TOP  1. | TOP  1. [9.75],TOP,30+
"IFSC Climbing Worldcup (L,S) - Perm (RUS) 2013",447,7,MANUEL ROMAIN,M,FRA,TOP  1. | TOP  1. [9.75],TOP,27
"IFSC Climbing Worldcup (L,S) - Perm (RUS) 2013",855,8,STEFANO GHISOLFI,M,ITA,TOP  1. | TOP  1. [9.75],TOP,23+
"IFSC Climbing Worldcup (L,S) - Perm (RUS) 2013",1129,9,DOMEN SKOFIC,M,SLO,TOP  1. | TOP  1. [9.75],TOP,22
"IFSC Climbing Worldcup (L,S) - Perm (RUS) 2013",448,10,THOMAS BALLET,M,FRA,TOP  1. | TOP  1. [9.75],41+,
"IFSC Climbing Worldcup (L,S) - Perm (RUS) 2013",1216,11,MARIO LECHNER,M,AUT,TOP  1. | TOP  1. [9.75],39+,
"IFSC Climbing Worldcup (L,S) - Perm (RUS) 2013",4933,12,ALEXANDER KALINA,M,RUS,TOP  1. | TOP  1. [9.75],37,
"IFSC Climbing Worldcup (L,S) - Perm (RUS) 2013",3124,13,THOMAS TAUPORN,M,GER,TOP  1. | TOP  1. [9.75],34,
"IFSC Climbing Worldcup (L,S) - Perm (RUS) 2013",6294,14,SEMEN CHESNOKOV,M,RUS,36+  19. | 37   25. [22.08],31+,
"IFSC Climbing Worldcup (L,S) - Perm (RUS) 2013",4945,15,LUKAS KÖB,M,AUT,33+  23. | 39+  21. [22.91],31+,
"IFSC Climbing Worldcup (L,S) - Perm (RUS) 2013",4716,16,KLEMEN BECAN,M,SLO,TOP  1. | TOP  1. [9.75],31,
"IFSC Climbing Worldcup (L,S) - Perm (RUS) 2013",61,16,MIKHAIL CHERNIKOV,M,RUS,TOP  1. | TOP  1. [9.75],31,
"IFSC Climbing Worldcup (L,S) - Perm (RUS) 2013",66,18,ARMAN TER-MINASYAN,M,RUS,TOP  1. | TOP  1. [9.75],30+,
"IFSC Climbing Worldcup (L,S) - Perm (RUS) 2013",314,18,LOÏC TIMMERMANS,M,BEL,TOP  1. | TOP  1. [9.75],30+,
"IFSC Climbing Worldcup (L,S) - Perm (RUS) 2013",864,18,FRANCESCO VETTORATA,M,ITA,TOP  1. | TOP  1. [9.75],30+,
"IFSC Climbing Worldcup (L,S) - Perm (RUS) 2013",2033,21,JABEE KIM,M,KOR,33+  23. | 38+  22. [23.72],30+,
"IFSC Climbing Worldcup (L,S) - Perm (RUS) 2013",65,22,EVGENII ZAZULIN,M,RUS,36   21. | 40   20. [20.49],26+,
"IFSC Climbing Worldcup (L,S) - Perm (RUS) 2013",3982,23,OR WECHSLER,M,ISR,36+  19. | 38+  22. [20.95],26+,
"IFSC Climbing Worldcup (L,S) - Perm (RUS) 2013",2927,24,QINGHUA WANG,M,CHN,33+  23. | 37+  24. [24.49],26+,
"IFSC Climbing Worldcup (L,S) - Perm (RUS) 2013",2014,25,CHRISTOPH HANKE,M,GER,34   22. | TOP  1. [14.83],24+,
"IFSC Climbing Worldcup (L,S) - Perm (RUS) 2013",6184,26,ANDREY SHAGIN,M,RUS,33+  23. | 36+  26. [25.98],24+,
"IFSC Climbing Worldcup (L,S) - Perm (RUS) 2013",124,27,ARSENIY KUPCHIK,M,RUS,33+  23. | 36   29. [26.93],,
"IFSC Climbing Worldcup (L,S) - Perm (RUS) 2013",6295,28,GLEB VOLKOV,M,RUS,31   29. | 36+  26. [28.22],,
"IFSC Climbing Worldcup (L,S) - Perm (RUS) 2013",72,29,YURY NOVITSKIY,M,RUS,30+  31. | 36+  26. [28.93],,
"IFSC Climbing Worldcup (L,S) - Perm (RUS) 2013",6296,30,VICTOR MUSIHIN,M,RUS,33   28. | 33   31. [29.46],,
"IFSC Climbing Worldcup (L,S) - Perm (RUS) 2013",88,31,VSEVOLOD ILINYKH,M,RUS,31   29. | 34+  30. [29.75],,
"IFSC Climbing Worldcup (L,S) - Perm (RUS) 2013",6297,32,DMITRIY BOGOMOLOV,M,RUS,23+  32. | 32+  32. [32.00],,
