Event,ID,Rank,Name,Gender,Country,Qualification,Semi-Final,Final
IFSC Climbing Worldcup (L) - Briançon (FRA) 2019,2368,1,HIDEMASA NISHIDA,M,JPN,39+  31. | 42+  8. [18.10],31+,39+
IFSC Climbing Worldcup (L) - Briançon (FRA) 2019,2285,2,HIROTO SHIMIZU,M,JPN,40+  10. | 42+  8. [13.61],38+,38+
IFSC Climbing Worldcup (L) - Briançon (FRA) 2019,2336,3,SHUTA TANAKA,M,JPN,41   8. | 40+  12. [10.51],34,38+
IFSC Climbing Worldcup (L) - Briançon (FRA) 2019,648,4,WILLIAM BOSI,M,GBR,39+  31. | 40   15. [23.12],37+,38
IFSC Climbing Worldcup (L) - Briançon (FRA) 2019,1559,5,SEAN MCCOLL,M,CAN,40   30. | 43+  4. [12.85],36+,38
IFSC Climbing Worldcup (L) - Briançon (FRA) 2019,1741,6,SEAN BAILEY,M,USA,40+  10. | 42+  8. [13.61],38+,34+
IFSC Climbing Worldcup (L) - Briançon (FRA) 2019,1129,7,DOMEN SKOFIC,M,SLO,40+  10. | 43+  4. [10.36],32+,34+
IFSC Climbing Worldcup (L) - Briançon (FRA) 2019,854,8,MARCELLO BOMBARDI,M,ITA,40+  10. | 38+  17. [18.47],32+,34+
IFSC Climbing Worldcup (L) - Briançon (FRA) 2019,2947,9,YUFEI PAN,M,CHN,40+  10. | 35+  23. [22.30],31+,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2019,437,10,ROMAIN DESGRANGES,M,FRA,46+  1. | 35+  23. [7.14],31,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2019,3131,11,YANNICK FLOHÉ,M,GER,41   8. | 31+  40. [19.23],30+,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2019,1773,12,RUDOLPH RUANA,M,USA,40+  10. | 40+  12. [15.92],27,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2019,4299,13,SASCHA LEHMANN,M,SUI,40+  10. | TOP  1. [5.41],22,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2019,1778,14,NATHANIEL COLEMAN,M,USA,42+  6. | 34+  30. [13.96],22,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2019,855,15,STEFANO GHISOLFI,M,ITA,46+  1. | 44+  3. [2.45],21+,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2019,2574,16,ALEXANDER MEGOS,M,GER,45   4. | TOP  1. [2.60],21+,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2019,519,17,NAO MONCHOIS,M,FRA,40+  10. | 43+  4. [10.36],21+,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2019,1221,18,MAX RUDIGIER,M,AUT,40+  10. | 40+  12. [15.92],21+,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2019,1264,19,MATTHIAS SCHIESTL,M,AUT,40+  10. | 38+  17. [18.47],21+,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2019,2041,20,HANWOOL KIM,M,KOR,40+  10. | 34+  30. [25.17],21+,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2019,2334,21,KEITA DOHI,M,JPN,40+  10. | 38   19. [19.25],21,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2019,811,22,ALBERTO GINÉS LÓPEZ,M,ESP,45   4. | 34+  30. [12.09],18+,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2019,93,23,DMITRII FAKIRIANOV,M,RUS,40+  10. | 42+  8. [13.61],18+,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2019,793,24,MIKEL ASIER LINACISORO MOLINA,M,ESP,41+  7. | 34+  30. [15.08],11+,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2019,2667,25,HANNES PUMAN,M,SWE,46+  1. | 43+  4. [3.32],11,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2019,463,26,THOMAS JOANNES,M,FRA,40+  10. | 40   15. [17.39],11,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2019,1135,27,MARTIN BERGANT,M,SLO,40+  10. | 34   36. [26.68],,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2019,864,27,FRANCESCO VETTORATA,M,ITA,40+  10. | 34   36. [26.68],,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2019,2291,29,TOMOAKI TAKATA,M,JPN,38   40. | 36+  20. [28.81],,
IFSC Climbing Worldcup (L) - Briançon (FRA) 2019,2301,30,YUKI HADA,M,JPN,40+  10. | 31+  40. [29.12],,
