Event,ID,Rank,Name,Gender,Country,Qualification,Semi-Final,Final
IFSC Climbing Worldcup (L) - Amman (JOR) 2011,1122,1,MINA MARKOVIC,F,SLO,TOP  1. | TOP  1. [6.48],TOP,49
IFSC Climbing Worldcup (L) - Amman (JOR) 2011,1121,2,MAJA STREMFELJ,F,SLO,TOP  1. | TOP  1. [6.48],TOP,49-
IFSC Climbing Worldcup (L) - Amman (JOR) 2011,2035,3,JAIN KIM,F,KOR,TOP  1. | TOP  1. [6.48],TOP,48
IFSC Climbing Worldcup (L) - Amman (JOR) 2011,2263,3,MOMOKA ODA,F,JPN,TOP  1. | TOP  1. [6.48],TOP,48
IFSC Climbing Worldcup (L) - Amman (JOR) 2011,2043,5,SEURAN HAN,F,KOR,TOP  1. | TOP  1. [6.48],41-,42-
IFSC Climbing Worldcup (L) - Amman (JOR) 2011,445,6,CHARLOTTE DURIF,F,FRA,TOP  1. | TOP  1. [6.48],41+,37-
IFSC Climbing Worldcup (L) - Amman (JOR) 2011,848,7,JENNY LAVARDA,F,ITA,TOP  1. | TOP  1. [6.48],TOP,35+
IFSC Climbing Worldcup (L) - Amman (JOR) 2011,1210,8,CHRISTINE SCHRANZ,F,AUT,TOP  1. | 43   12. [9.54],40,34.5
IFSC Climbing Worldcup (L) - Amman (JOR) 2011,4916,9,MATHILDE BRUMAGNE,F,BEL,TOP  1. | 43   12. [9.54],40,33+
IFSC Climbing Worldcup (L) - Amman (JOR) 2011,1202,10,BARBARA BACHER,F,AUT,TOP  1. | 43   12. [9.54],40-,
IFSC Climbing Worldcup (L) - Amman (JOR) 2011,438,11,CAROLINE CIAVALDINI,F,FRA,TOP  1. | TOP  1. [6.48],38-,
IFSC Climbing Worldcup (L) - Amman (JOR) 2011,1222,11,KATHARINA POSCH,F,AUT,TOP  1. | TOP  1. [6.48],38-,
IFSC Climbing Worldcup (L) - Amman (JOR) 2011,2047,13,SOL SA,F,KOR,51   14. | TOP  1. [9.17],35,
IFSC Climbing Worldcup (L) - Amman (JOR) 2011,58,14,YANA CHERESHNEVA,F,RUS,TOP  1. | TOP  1. [6.48],15-,
