Event,ID,Rank,Name,Country,Qualification,Semi-Final,Final
IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,1122,1,MINA MARKOVIC,SLO,TOP  1. | TOP  1. [3.46],35,35+
IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,1226,2,JESSICA PILZ,AUT,TOP  1. | 42+  5. [6.48],35,35+
IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,1147,3,JANJA GARNBRET,SLO,TOP  1. | TOP  1. [3.46],TOP,34+
IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,2035,4,JAIN KIM,KOR,TOP  1. | TOP  1. [3.46],37+,34+
IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,315,5,ANAK VERHOEVEN,BEL,TOP  1. | 37   15. [9.49],36+,33+
IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,455,6,HÉLÈNE JANICOT,FRA,26+  19. | 39+  13. [16.84],33+,23+
IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,456,7,MATHILDE BECERRA,FRA,TOP  1. | 41+  10. [7.94],33+,22+
IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,1210,8,CHRISTINE SCHRANZ,AUT,38+  12. | 42+  5. [9.35],31+,22
IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,466,9,JULIA CHANOURDIE,FRA,TOP  1. | 36+  16. [10.54],31+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,2267,10,RISA OTA,JPN,36+  15. | 40   12. [13.42],31,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,1224,11,MAGDALENA RÖCK,AUT,TOP  1. | 42+  5. [6.48],30+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,2251,12,YUKA KOBAYASHI,JPN,38+  12. | 41+  10. [11.46],30+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,2253,13,AKIYO NOGUCHI,JPN,37+  14. | 39+  13. [13.75],30+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,1232,14,HANNAH SCHUBERT,AUT,TOP  1. | 42+  5. [6.48],29,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,1222,15,KATHARINA POSCH,AUT,TOP  1. | 42+  5. [6.48],28+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,442,16,ALIZÉE DUFRAISSE,FRA,28   18. | 36+  16. [18.25],28+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,1133,17,REBEKA KAMIN,SLO,26+  19. | 29+  30. [25.31],28+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,1148,18,TJASA SLEMENSEK,SLO,25+  27. | 33+  24. [26.72],27+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,3580,19,NIKKI VAN BERGEN,NED,26+  19. | 36+  16. [19.71],26+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,1369,20,IVA ONDRA,CZE,25+  27. | 36+  16. [22.76],26+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,3109,21,JOHANNA HOLFELD,GER,25+  27. | 33+  24. [26.72],24+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,1239,22,JULIA FISER,AUT,30+  17. | 36+  16. [17.73],21+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,848,23,JENNY LAVARDA,ITA,35   16. | 36+  16. [17.20],19,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,4301,24,MICHELLE HULLIGER,SUI,26+  19. | 29+  30. [25.31],16+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,1136,25,VERONIKA MEKE,SLO,26   24. | 32+  28. [26.46],16+,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,1139,26,TJASA KALAN,SLO,TOP  1. | 43+  4. [4.90],2,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,467,27,SALOMÉ ROMAIN,FRA,24+  31. | 35+  23. [27.55],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,3984,28,NETTA FREDMAN,ISR,25   30. | 33+  24. [27.66],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,1202,29,BARBARA BACHER,AUT,26+  19. | 24+  37. [28.25],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,891,30,ASJA GOLLO,ITA,26   24. | 26+  34. [29.37],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,3775,30,LENA HERRMANN,GER,26   24. | 26+  34. [29.37],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,860,32,CLAUDIA GHISOLFI,ITA,21.5   40. | 36   22. [29.66],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,539,33,LÉA MARIGO,FRA,23+  36. | 33+  24. [30.51],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,49,34,EVGENIIA MALAMID,RUS,24+  31. | 31+  29. [30.94],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,642,35,MOLLY THOMPSON-SMITH,GBR,24+  31. | 29   32. [32.50],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,328,36,HELOÏSE DOUMONT,BEL,24+  31. | 27   33. [33.00],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,4251,37,CHIARA MARIA CLOSTERMANN,GER,24+  31. | 24+  37. [35.41],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,1368,38,GABRIELA VRABLIKOVA,CZE,23+  36. | 20   40. [38.21],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,1137,39,JULIJA KRUDER,SLO,15+  41. | 25   36. [38.42],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,1143,40,KAJA SKVARC BOZIC,SLO,22+  39. | 24+  37. [38.50],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,4323,41,SOLVEIG KORHERR,GER,23   38. | 19+  41. [39.47],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,1377,42,ELISKA VLCKOVA,CZE,14+  42. | 18+  42. [42.00],,
IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,2419,43,MARIA GEORGIEVA,BUL,14   43. | 16+  43. [43.00],,
