Event,ID,Rank,Name,Country,Qualification,Semi-Final,Final
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,1147,1,JANJA GARNBRET,SLO,5T5Z 5 5,4T4Z 5 5,4T4Z 7 6
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,11462,2,ORIANE BERTONE,FRA,5T5Z 8 7,3T3Z 5 4,2T4Z 8 10
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,1803,3,NATALIA GROSSMAN,USA,5T5Z 12 6,2T4Z 10 17,2T4Z 10 10
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,2253,4,AKIYO NOGUCHI,JPN,5T5Z 6 6,3T3Z 7 7,0T3Z 0 7
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,1153,5,VITA LUKAN,SLO,5T5Z 15 12,2T3Z 4 7,0T2Z 0 3
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,1130,6,KATJA DEBEVEC,SLO,2T5Z 3 10,2T3Z 5 5,0T2Z 0 6
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,2294,7,MIHO NONAKA,JPN,4T4Z 6 6,2T2Z 3 2,
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,3254,8,ANDREA KÜMIN,SUI,4T5Z 8 10,1T2Z 1 4,
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,1811,9,BROOKE RABOUTOU,USA,5T5Z 9 9,1T2Z 1 5,
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,1160,10,LUCKA RAKOVEC,SLO,4T5Z 9 14,1T2Z 4 4,
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,1240,11,FRANZISKA STERRER,AUT,5T5Z 13 12,1T2Z 5 6,
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,1226,12,JESSICA PILZ,AUT,3T5Z 3 7,1T2Z 5 10,
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,3840,13,STASA GEJO,SRB,4T5Z 4 5,1T2Z 7 6,
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,1181,14,LUCIJA TARKUS,SLO,3T5Z 4 8,1T1Z 1 1,
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,1161,15,MIA KRAMPL,SLO,5T5Z 10 10,0T3Z 0 21,
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,4320,16,ROXANA WIENAND,GER,5T5Z 9 9,0T2Z 0 13,
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,144,17,ELENA KRASOVSKAIA,RUS,4T5Z 9 10,0T1Z 0 3,
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,466,18,JULIA CHANOURDIE,FRA,4T5Z 9 9,0T0Z 0 0,
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,4017,18,AYALA KEREM,ISR,2T5Z 2 9,0T0Z 0 0,
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,947,18,CAMILLA MORONI,ITA,5T5Z 11 9,0T0Z 0 0,
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,1750,21,KYRA CONDIE,USA,2T4Z 4 6,,
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,3246,21,PETRA KLINGLER,SUI,4T5Z 11 11,,
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,4328,23,ALMA BESTVATER,GER,2T4Z 4 12,,
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,147,23,VIKTORIIA MESHKOVA,RUS,4T5Z 15 16,,
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,316,25,CHLOE CAULIER,BEL,4T4Z 5 5,,
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,12537,25,KYLIE CULLEN,USA,2T4Z 6 13,,
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,3354,27,AFRA HÖNIG,GER,1T5Z 4 12,,
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,11658,27,SABINA VAN ESSEN,NED,4T4Z 8 7,,
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,928,29,LAURA ROGORA,ITA,4T4Z 9 9,,
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,70,29,ANNA ZAIKINA,RUS,1T4Z 2 9,,
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,1243,31,JOHANNA FÄRBER,AUT,1T3Z 2 4,,
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,914,31,GIORGIA TESIO,ITA,4T4Z 10 10,,
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,1270,33,SANDRA LETTNER,AUT,1T3Z 2 6,,
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,598,33,CLOTHILDE MORIN,FRA,3T5Z 4 12,,
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,469,35,FANNY GIBERT,FRA,3T5Z 6 8,,
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,1137,35,JULIJA KRUDER,SLO,1T3Z 3 5,,
