Event,ID,Rank,Name,Gender,Country,Qualification,Semi-Final,Final
IFSC Climbing Worldcup (B) - Toronto (CAN) 2013,1211,1,ANNA STÖHR,F,AUT,4T5 4B4,4T4 4B4,4T10 4B10
IFSC Climbing Worldcup (B) - Toronto (CAN) 2013,2253,2,AKIYO NOGUCHI,F,JPN,5T6 5B5,4T4 4B4,3T4 4B5
IFSC Climbing Worldcup (B) - Toronto (CAN) 2013,1710,3,ALEX PUCCIO,F,USA,4T4 4B4,4T4 4B4,3T5 4B4
IFSC Climbing Worldcup (B) - Toronto (CAN) 2013,636,4,SHAUNA COXSEY,F,GBR,4T4 4B4,4T4 4B4,3T10 3B6
IFSC Climbing Worldcup (B) - Toronto (CAN) 2013,2263,5,MOMOKA ODA,F,JPN,4T6 5B10,4T5 4B4,2T2 3B6
IFSC Climbing Worldcup (B) - Toronto (CAN) 2013,1209,6,KATHARINA SAURWEIN,F,AUT,2T2 5B6,4T5 4B5,1T4 2B3
IFSC Climbing Worldcup (B) - Toronto (CAN) 2013,2823,7,JULIANE WURM,F,GER,2T4 5B7,4T8 4B6,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2013,454,8,MELISSA LE NEVE,F,FRA,5T9 5B8,4T8 4B8,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2013,3578,9,VERA ZIJLSTRA,F,NED,4T8 4B8,4T14 4B13,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2013,2013,10,MONIKA RETSCHY,F,GER,1T2 4B9,3T4 4B5,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2013,2268,11,AYA ONOE,F,JPN,1T3 4B7,3T4 4B6,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2013,638,12,MINA LESLIE-WUJASTYK,F,GBR,3T3 4B4,2T3 3B4,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2013,1708,13,MEAGAN MARTIN,F,USA,1T4 3B4,2T6 3B7,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2013,443,14,MÉLANIE SANDOZ,F,FRA,3T4 4B6,1T1 4B4,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2013,632,15,LEAH CRANE,F,GBR,1T2 4B6,1T1 2B2,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2013,1557,16,STACEY WELDON,F,CAN,1T2 3B8,1T1 1B1,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2013,1714,17,SIERRA BLAIR-COYLE,F,USA,1T3 1B3,1T2 1B1,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2013,2503,18,TIFFANY MELIUS,F,AUS,1T1 2B4,1T4 2B9,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2013,1568,19,ELISE SETHNA,F,CAN,1T2 2B3,1T5 1B5,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2013,5885,20,KERRY BRIGGS,F,CAN,1T1 2B2,0T 1B1,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2013,6060,21,MARIA CELKOVA,F,CAN,1T4 2B5,,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2013,4837,22,HOLLY REID,F,CAN,1T6 2B10,,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2013,6248,23,KELLY DRAGER,F,CAN,1T6 1B6,,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2013,6050,24,ATORI YASUDA,F,JPN,0T 5B19,,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2013,4763,25,DIANE MERRICK,F,GBR,0T 3B8,,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2013,1578,26,ALYSSA WEBER,F,CAN,0T 3B12,,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2013,4451,27,CLAIRE BELL,F,GBR,0T 2B2,,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2013,6172,28,ERICA CARLSON,F,CAN,0T 1B1,,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2013,5880,29,BONNIE DE BRUIJN,F,CAN,0T 1B3,,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2013,6249,30,MARIETA AKALSKI,F,CAN,0T 1B4,,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2013,1561,31,JELISA DUNBAR,F,CAN,0T 1B8,,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2013,5887,32,CLARRIE LAM,F,CAN,0T 0B,,
