Event,ID,Rank,Name,Country,Qualification,Final
"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2013",110,1,IULIIA KAPLINA,RUS,8.875,9.31
"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2013",62,2,ALINA GAIDAMAKINA,RUS,8.719,FALL
"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2013",81,3,YULIYA LEVOCHKINA,RUS,9.062,9.04
"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2013",82,4,MARIIA KRASAVINA,RUS,8.453,10.54
"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2013",2848,5,ALEKSANDRA MIROSLAW,POL,8.828,8.67
"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2013",3464,6,FARNAZ ESMAEILZADEH,IRI,9.609,9.73
"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2013",479,7,ANOUCK JAUBERT,FRA,9.219,10.12
"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2013",2847,8,KLAUDIA BUCZEK,POL,8.812,11.79
"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2013",452,9,MARGOT HEITZ,FRA,9.672,
"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2013",2834,10,EDYTA ROPEK,POL,9.922,
"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2013",2842,11,MONIKA PROKOPIUK-KAWECKA,POL,10.031,
"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2013",1493,12,ALLA MARENYCH,UKR,10.188,
"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2013",1209,13,KATHARINA SAURWEIN,AUT,17.422,
"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2013",6213,14,WOONWHA JEONG,KOR,24.469,
