Event,ID,Rank,Name,Country,Qualification,Semi-Final,Final
IFSC Climbing World Championship - Paris (FRA) 2012,53,1,DMITRII SHARAFUTDINOV,RUS,5T7 5B5,3T9 4B10,4T9 4B6
IFSC Climbing World Championship - Paris (FRA) 2012,1204,2,KILIAN FISCHHUBER,AUT,5T8 5B6,3T6 3B5,3T3 3B3
IFSC Climbing World Championship - Paris (FRA) 2012,60,3,RUSTAM GELMANOV,RUS,5T10 5B5,3T10 3B8,3T4 3B4
IFSC Climbing World Championship - Paris (FRA) 2012,1559,4,SEAN MCCOLL,CAN,5T8 5B8,3T8 4B8,3T5 3B5
IFSC Climbing World Championship - Paris (FRA) 2012,3422,5,JAN HOJER,GER,4T9 5B9,3T6 3B4,2T2 3B3
IFSC Climbing World Championship - Paris (FRA) 2012,2257,6,REI SUGIMOTO,JPN,5T7 5B6,2T3 3B4,2T3 2B2
IFSC Climbing World Championship - Paris (FRA) 2012,436,7,GUILLAUME GLAIRON MONDET,FRA,5T6 5B6,2T3 3B5,
IFSC Climbing World Championship - Paris (FRA) 2012,4866,8,VICTOR KOZLOV,RUS,3T3 4B4,2T7 3B5,
IFSC Climbing World Championship - Paris (FRA) 2012,66,9,ARMAN TER-MINASYAN,RUS,5T11 5B10,2T9 3B9,
IFSC Climbing World Championship - Paris (FRA) 2012,5820,10,MAURICIO HUERTA,MEX,4T7 5B7,2T9 3B10,
IFSC Climbing World Championship - Paris (FRA) 2012,3124,11,THOMAS TAUPORN,GER,5T8 5B7,2T18 3B19,
IFSC Climbing World Championship - Paris (FRA) 2012,3129,12,CÉDRIC LACHAT,SUI,5T9 5B7,1T1 3B7,
IFSC Climbing World Championship - Paris (FRA) 2012,4716,13,KLEMEN BECAN,SLO,4T5 5B6,1T2 3B8,
IFSC Climbing World Championship - Paris (FRA) 2012,72,14,YURY NOVITSKIY,RUS,4T13 5B10,1T2 3B10,
IFSC Climbing World Championship - Paris (FRA) 2012,2255,15,TSUKURU HORI,JPN,5T8 5B7,1T3 3B7,
IFSC Climbing World Championship - Paris (FRA) 2012,855,16,STEFANO GHISOLFI,ITA,5T8 5B7,1T3 2B4,
IFSC Climbing World Championship - Paris (FRA) 2012,4150,17,ROLANDS RUGENS,LAT,3T3 4B4,1T6 2B7,
IFSC Climbing World Championship - Paris (FRA) 2012,4818,18,EDWARD FEEHALLY,GBR,4T12 5B9,0T 3B17,
IFSC Climbing World Championship - Paris (FRA) 2012,774,19,MARCO ANTONIO JUBES ANGARITA,ESP,4T6 4B5,0T 2B7,
IFSC Climbing World Championship - Paris (FRA) 2012,2040,20,JIHWAN PARK,KOR,4T5 5B9,0T 1B1,
IFSC Climbing World Championship - Paris (FRA) 2012,470,21,JEREMY BONDER,FRA,4T8 5B9,0T 1B4,
IFSC Climbing World Championship - Paris (FRA) 2012,1212,22,LUKAS ENNEMOSER,AUT,4T8 5B7,,
IFSC Climbing World Championship - Paris (FRA) 2012,2822,23,JONAS BAUMANN,GER,3T4 4B5,,
IFSC Climbing World Championship - Paris (FRA) 2012,4803,23,IGNACIO SANCHEZ GONZÁLEZ,ESP,4T8 4B6,,
IFSC Climbing World Championship - Paris (FRA) 2012,5858,23,IGNASI TARRAZONA GASQUE,ESP,3T4 4B5,,
IFSC Climbing World Championship - Paris (FRA) 2012,4789,26,BRUNO MACIAS MATUTANO,ESP,4T9 4B7,,
IFSC Climbing World Championship - Paris (FRA) 2012,1476,27,VALERIY KRYUKOV,UKR,3T5 4B6,,
IFSC Climbing World Championship - Paris (FRA) 2012,4940,27,TATSUMI NITTA,JPN,4T11 5B13,,
IFSC Climbing World Championship - Paris (FRA) 2012,4776,29,MYKHAYLO SHALAGIN,UKR,3T5 4B7,,
IFSC Climbing World Championship - Paris (FRA) 2012,1709,29,CARLO TRAVERSI,USA,4T14 5B13,,
IFSC Climbing World Championship - Paris (FRA) 2012,1124,31,JERNEJ KRUDER,SLO,3T6 5B8,,
IFSC Climbing World Championship - Paris (FRA) 2012,2260,31,ATSUSHI SHIMIZU,JPN,3T3 4B4,,
IFSC Climbing World Championship - Paris (FRA) 2012,3358,33,ARTYOM DEVYATERIKOV,KAZ,3T4 5B8,,
IFSC Climbing World Championship - Paris (FRA) 2012,4778,33,LUCAS PRETI,ITA,3T6 4B8,,
IFSC Climbing World Championship - Paris (FRA) 2012,441,35,THOMAS CALEYRON,FRA,3T5 5B6,,
IFSC Climbing World Championship - Paris (FRA) 2012,3579,35,NICKY DE LEEUW,NED,2T2 5B5,,
IFSC Climbing World Championship - Paris (FRA) 2012,4824,37,DANIEL ANDERSSON,SWE,2T2 4B8,,
IFSC Climbing World Championship - Paris (FRA) 2012,4364,37,KIPRAS BALTRUNAS,LTU,3T5 4B10,,
IFSC Climbing World Championship - Paris (FRA) 2012,3429,39,KEVIN HEMUND,SUI,3T5 3B4,,
IFSC Climbing World Championship - Paris (FRA) 2012,3583,39,MICHIEL NIEUWENHUIJSEN,NED,2T3 5B8,,
IFSC Climbing World Championship - Paris (FRA) 2012,634,41,DAVID BARRANS,GBR,3T6 4B5,,
IFSC Climbing World Championship - Paris (FRA) 2012,1371,41,JAN JELIGA,CZE,2T3 3B4,,
IFSC Climbing World Championship - Paris (FRA) 2012,5559,43,HAFZANIZAM BOKHARI,MAS,2T4 5B11,,
IFSC Climbing World Championship - Paris (FRA) 2012,2798,43,ANTHONY GULLSTEN,FIN,3T7 4B6,,
