Event,ID,Rank,Name,Country,Qualification,Semi-Final,Final
IFSC Climbing Worldcup (B) - Toronto (CAN) 2013,1204,1,KILIAN FISCHHUBER,AUT,4T8 5B8,3T8 4B9,3T5 4B5
IFSC Climbing Worldcup (B) - Toronto (CAN) 2013,3577,2,JORG VERHOEVEN,NED,5T8 5B8,4T11 4B11,3T5 3B5
IFSC Climbing Worldcup (B) - Toronto (CAN) 2013,1214,3,JAKOB SCHUBERT,AUT,4T9 4B8,4T7 4B7,2T2 3B4
IFSC Climbing Worldcup (B) - Toronto (CAN) 2013,2257,4,REI SUGIMOTO,JPN,5T8 5B5,3T13 3B8,2T3 3B6
IFSC Climbing Worldcup (B) - Toronto (CAN) 2013,60,5,RUSTAM GELMANOV,RUS,4T9 4B6,3T6 4B9,2T3 2B3
IFSC Climbing Worldcup (B) - Toronto (CAN) 2013,1559,6,SEAN MCCOLL,CAN,5T5 5B5,3T7 3B6,2T3 2B3
IFSC Climbing Worldcup (B) - Toronto (CAN) 2013,436,7,GUILLAUME GLAIRON MONDET,FRA,4T9 5B11,2T4 3B6,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2013,3422,8,JAN HOJER,GER,3T7 5B9,2T9 3B4,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2013,5820,9,MAURICIO HUERTA,MEX,2T3 3B5,2T11 3B12,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2013,2822,10,JONAS BAUMANN,GER,2T4 3B7,1T1 4B11,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2013,1124,11,JERNEJ KRUDER,SLO,4T8 5B9,1T3 3B8,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2013,441,12,THOMAS CALEYRON,FRA,3T8 4B9,1T3 2B2,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2013,2255,13,TSUKURU HORI,JPN,3T4 4B5,1T3 2B7,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2013,470,14,JEREMY BONDER,FRA,3T5 4B7,0T 2B3,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2013,5683,15,MASATOSHI SUGITA,JPN,2T3 4B6,0T 2B6,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2013,4716,16,KLEMEN BECAN,SLO,4T11 5B11,0T 1B2,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2013,6064,17,MILES ADAMSON,CAN,2T9 3B9,0T 1B5,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2013,1212,18,LUKAS ENNEMOSER,AUT,2T4 4B9,0T 0B,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2013,850,19,STEFAN SCARPERI,ITA,2T5 4B8,0T 0B,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2013,6052,20,ANTON JOHANSONN,FIN,2T7 4B9,0T 0B,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2013,4934,21,SHINTA OZAWA,JPN,2T10 3B10,,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2013,6150,22,TOM NEWMAN,GBR,1T1 3B5,,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2013,3576,23,WOUTER JONGENEELEN,NED,1T3 3B5,,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2013,4850,24,IAN DORY,USA,1T4 4B7,,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2013,1571,25,SEBASTIEN LAZURE,CAN,1T4 4B10,,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2013,1558,26,JASON HOLOWACH,CAN,0T 4B9,,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2013,5668,27,JOHN BOWLES,CAN,0T 3B5,,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2013,2249,28,KEITA MOGAKI,JPN,0T 3B6,,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2013,1567,29,AYODELE SOPEJU,CAN,0T 3B7,,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2013,4818,30,EDWARD FEEHALLY,GBR,0T 3B8,,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2013,2260,30,ATSUSHI SHIMIZU,JPN,0T 3B8,,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2013,1573,32,MARC EVELEIGH,CAN,0T 3B15,,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2013,4796,33,JONATHAN PARTRIDGE,GBR,0T 2B4,,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2013,5371,33,BEN WEST,GBR,0T 2B4,,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2013,1576,35,ELAN JONASMCRAE,CAN,0T 2B14,,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2013,311,36,NICOLAS FARCY,BEL,0T 1B1,,
IFSC Climbing Worldcup (B) - Toronto (CAN) 2013,6250,37,JONATHAN HUERTA ESPINOZA,MEX,0T 1B3,,
