Event,ID,Rank,Name,Country,Qualification,Semi-Final,Final
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",2276,1,TOMOA NARASAKI,JPN,4T5Z 7 9,3T3Z 5 5,4T4Z 12 12
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",1124,2,JERNEJ KRUDER,SLO,4T5Z 8 9,2T3Z 5 6,3T4Z 5 6
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",1131,3,GREGOR VEZONIK,SLO,4T4Z 8 6,2T4Z 8 10,3T4Z 6 9
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",2052,4,JONGWON CHON,KOR,5T5Z 7 6,3T4Z 3 6,3T4Z 9 18
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",79,5,ALEKSEY RUBTSOV,RUS,5T5Z 7 7,2T3Z 5 7,2T4Z 4 27
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",849,6,GABRIELE MORONI,ITA,5T5Z 7 6,3T3Z 3 3,2T3Z 7 14
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",3983,7,ALEX KHAZANOV,ISR,5T5Z 8 7,2T2Z 3 2,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",2265,8,KEITA WATABE,JPN,4T5Z 6 9,2T2Z 3 3,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",2291,9,TOMOAKI TAKATA,JPN,5T5Z 13 11,2T2Z 4 4,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",2257,10,REI SUGIMOTO,JPN,5T5Z 9 6,2T2Z 5 5,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",3061,11,THILO JELDRIK SCHRÖTER,NOR,4T4Z 10 9,1T3Z 1 7,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",320,12,NICOLAS COLLIN,BEL,4T5Z 16 16,1T3Z 2 10,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",1361,12,MARTIN STRANIK,CZE,5T5Z 16 10,1T3Z 2 10,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",2332,14,KAI HARADA,JPN,4T4Z 8 6,1T3Z 4 13,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",1472,15,SERGII TOPISHKO,UKR,4T5Z 10 8,1T2Z 2 4,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",1559,16,SEAN MCCOLL,CAN,4T5Z 12 11,1T1Z 2 2,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",2272,17,KOKORO FUJII,JPN,4T5Z 6 6,1T1Z 3 1,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",3131,18,YANNICK FLOHÉ,GER,4T5Z 4 6,0T2Z 0 3,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",2337,19,TAISEI ISHIMATSU,JPN,4T5Z 5 9,0T2Z 0 4,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",775,19,ERIC LOPEZ MATEOS,ESP,4T5Z 14 17,0T2Z 0 4,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",2266,21,RYUICHI MURAI,JPN,4T5Z 12 13,0T1Z 0 1,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",486,22,ALBAN LEVIER,FRA,4T4Z 12 6,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",3123,23,SIMON UNGER,GER,4T4Z 11 7,,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",2331,23,KAITO WATANABE,JPN,4T4Z 12 10,,
